video_id,views,dislikes,likes,comment_count
p7fNNqrpCg4,142585,65,1019,558
kTv84_S6yl8,59118,151,294,0
M2YwkAWg0_g,469432,282,24030,2450
CcVR1UYSv68,992375,2277,2202,309
v7wTWuaHG58,1043214,782,10024,645
w3Rd-KZeVp4,147504,301,313,224
KPZDbaFSmzE,45928,78,1977,13
zk9HAy2vlbc,55727,94,614,44
bl0iTBmee8E,7795,8,546,14
2DkrOjQ0lkI,143230,21,1229,374
adO-Ezi0hU8,2915,27,27,74
b-ShNqtj8Yw,1025278,593,14065,1825
RdzJIkAmmQY,407452,91,1381,363
9tKTzZspcEo,519791,259,20306,2953
hzkB_9RvuT8,50883,21,1910,92
BXREg5yPf9A,379554,213,7925,1136
7UTnb17q1hw,122192,57,739,333
d6u1muHTO5A,105932,285,2004,719
doieImeB59s,61163,155,2205,322
8IH9AcB4aCA,1492808,4506,35951,2191
NSrNn5LuxxQ,232904,168,970,1815
jhQNfvvXP5o,125316,134,4714,574
x4gg6xe6MBk,1152,0,0,0
Ze_qaAOgPls,240797,164,16127,1650
4CgnHGRUOMc,568229,265,31906,2291
HLm_Kf00WWc,2744,4,165,19
eSed5pq4lVQ,580094,561,15273,1693
vt15FzjaMD8,76851,101,2049,729
rjVqWL7pLrk,243632,491,10875,1209
Sl0Nck55_zU,7966,4,176,4
i_mb-QhHqz8,10715,15,172,28
mcsTWPSMDtg,3705832,2994,142034,6797
6kqPPP9cO3s,37060,98,4691,377
mF12u_0Fs9M,28809,38,2361,234
mXiFHDfvn4A,3195356,2715,99019,4636
pCF5f7pAOB4,2220,1,16,0
NnaYDbPUsgM,113169,57,583,151
H9HY7Aw_jdU,379175,315,3501,1778
ddpkoJrct60,224116,302,1579,304
qDe2vdscDS0,197415,211,8312,324
VPTixp94z-g,62801,116,314,54
JdxW2UU42Lk,254232,742,15978,1413
xUps49gv7ak,259034,90,1052,465
rPJAUtGSi7I,6952,6,155,18
XUIwpXq_jBo,571803,364,20556,3685
Qocvo4M77Rc,13234,36,1145,142
eWJ8r6aiMnc,5332,17,810,87
dprfHZ7gYvw,257797,136,7148,2006
1qBcnHLCvmo,113752,47,186,282
_-lJv1hNC6w,42462,12,614,94
l3vbvF8bQfI,3445095,3200,116259,8486
3gYVLbHAv50,155347,226,4260,268
tx2B7FI7X3U,430200,195,1237,82
3T6jnYDD1Po,6815,15,30,91
c4NtD6nAR9E,2044062,966,7948,3012
boL74vGKeKc,51922,38,1080,177
3fzDVYNEMgE,72555,71,4880,881
z1FL60aLCpI,860245,302,3815,0
gXjYusSGvbs,2171,3,176,14
